date,population,admission,release
2023-09-11,131756.4106539518,1911.254868549978,3557.2210012448013
2023-09-12,131136.11617763038,2936.9265249233704,3646.2210012448013
2023-09-13,130890.82170130899,3349.2229733439635,3399.640127909754
2023-09-14,130466.43242392188,2982.7508505226842,3367.1401279097536
2023-09-15,130239.95425764594,3141.5508505226835,3128.809765461744
2023-09-16,130376.22698263559,3267.0236669219707,1404.7509419323328
2023-09-17,131238.9997076252,2267.5236669219707,1485.2509419323328
2023-09-18,131782.77243261487,1937.1570002553044,3743.9267061244723
2023-09-19,130939.10783349,2900.637106999603,3983.92075374352
2023-09-20,130172.64323436511,3309.837106999603,3538.147859970626
2023-09-21,129826.78119934282,3193.119158281655,3427.98119330396
2023-09-22,129572.18232221526,3171.386324192424,3035.4701712598717
2023-09-23,129746.62552925598,3209.9133783006405,1445.5812823709823
2023-09-24,130487.15762518567,2186.11337830064,1520.914615704316
2023-09-25,130850.68972111534,1884.4467116339727,3542.7646157043155
2023-09-26,130174.22181704496,2891.052601358284,3394.446883874742
2023-09-27,129912.60573001727,3132.164130180339,3526.113550541409
2023-09-28,129748.9896429895,3204.548633341065,3525.6251526505503
2023-09-29,129862.57064636989,3602.2679841202907,3447.7415347553642
2023-09-30,129871.6998785733,3451.9052497173907,1477.9734313070883
2023-10-01,130737.0316969836,2343.305249717391,1536.9734313070883
2023-10-02,131244.8635153939,2044.8052497173906,3839.3014922326884
2023-10-03,130561.4651053332,3152.957448984216,3762.868484100481
2023-10-04,130352.19559820897,3553.5989769762673,3789.8684841004815
2023-10-05,130026.9260910848,3451.630839721365,3748.696811492044
2023-10-06,129739.20866358028,3462.9612021693747,3390.0786296738625
2023-10-07,129797.79123607579,3448.661202169375,1411.5786296738625
2023-10-08,130696.37380857133,2310.1612021693745,1550.5786296738625
2023-10-09,131080.45638106682,1934.661202169375,2920.453629673862
2023-10-10,130937.28895356233,2700.665964074137,3615.9043872496195
2023-10-11,130524.40382270858,3202.5192563958503,3639.885339630572
2023-10-12,129925.7186918548,3041.2002087768024,3503.485339630572
2023-10-13,129506.26689433437,3084.0335421101363,3343.485339630572
2023-10-14,129453.81509681392,3291.0335421101363,1416.9853396305723
2023-10-15,130381.3632992935,2344.533542110136,1418.9853396305723
2023-10-16,130758.57816843972,1791.224310868296,3643.00765419712
2023-10-17,130098.7190417331,2912.4834331508746,3498.9174581186885
2023-10-18,129734.431903822,3134.6303202075837,3542.9174581186885
2023-10-19,129319.14476591088,3126.1891437369954,3501.2409875304534
2023-10-20,128951.8870397645,3132.8165947173875,3245.574320863787
2023-10-21,129135.79598028476,3429.4832613840545,1460.0743208637864
2023-10-22,129950.8715874717,2275.149928050721,1456.0743208637864
2023-10-23,130522.94719465863,2027.1687959752492,3907.9007528451816
2023-10-24,129686.18490889539,3113.9156691544736,3350.642240632006
2023-10-25,129541.75595646547,3206.5257882020924,3503.177954917721
2023-10-26,129270.82700403554,3232.249002487807,3514.677954917721
2023-10-27,129224.39805160563,3468.249002487807,3296.5112882510534
2023-10-28,129328.30243250907,3399.665669154473,1436.7612882510537
2023-10-29,130145.20681341251,2253.6656691544736,1445.2612882510537
2023-10-30,130566.11119431589,1866.1656691544736,3673.4279549177204
2023-10-31,129771.182241886,2878.499002487807,3284.4458120605773
2023-11-01,129394.48543231325,2908.499002487807,3628.4458120605773
2023-11-02,128727.28862274045,2961.249002487807,3409.9685393333048
2023-11-03,128566.03499498586,3248.714911578716,3372.9685393333048
2023-11-04,128652.1147005646,3458.298244912049,1443.9685393333045
2023-11-05,129688.19440614335,2480.0482449120495,1567.5110925247939
2023-11-06,130139.7741117221,2021.0482449120493,4190.215018206544
2023-11-07,129256.49231495343,3306.933221437871,3303.3221610636874
2023-11-08,129094.35337532761,3143.433221437871,3619.947161063687
2023-11-09,128771.83943570177,3297.433221437871,3770.28049439702
2023-11-10,128362.65882940934,3361.099888104538,1897.08049439702
2023-11-11,129052.67822311683,2584.849888104538,1267.0804943970202
2023-11-12,129911.69761682434,2126.099888104538,1360.747161063687
2023-11-13,130350.38367719852,1799.433221437871,3865.656251972778
2023-11-14,129356.06973757272,3157.933221437871,3730.497161063687
2023-11-15,128810.75579794688,3185.933221437871,3734.247161063687
2023-11-16,128268.4418583211,3191.433221437871,3639.247161063687
2023-11-17,127775.62791869525,3146.433221437871,3383.1510072175333
2023-11-18,127800.6409021464,3409.8947598994096,1515.8817764483024
2023-11-19,128490.1538855975,2205.3947598994096,1528.8817764483024
2023-11-20,128830.66686904858,1869.3947598994096,4032.081776448302
2023-11-21,127691.47985249969,2892.1447598994096,3751.7484431149687
2023-11-22,126884.79283595078,2946.0614265660756,3450.548443114969
2023-11-23,126210.70581940189,2778.361426566076,1059.1151097816357
2023-11-24,126662.11880285303,1510.528093232743,1462.9484431149692
2023-11-25,127414.53178630411,2215.3614265660763,1208.948443114969
2023-11-26,128122.94476975525,1917.3614265660763,1228.4882880762093
2023-11-27,128536.5875206482,1641.511038969177,3546.1349547428754
2023-11-28,127812.59693820785,2822.1443723025104,3458.1349547428754
2023-11-29,127476.50635576746,3122.8443723025102,3279.6370824024502
2023-11-30,127277.7987520505,3080.929478685489,3392.2204157357837
2023-12-01,126969.67448166685,3084.8461453521554,3641.6067793721472
2023-12-02,126820.6032415863,3496.4143271703374,1415.2547980201662
2023-12-03,127617.14738612107,2211.798942554953,1440.4547980201662
2023-12-04,128090.29153065584,1913.598942554953,3730.1214646868325
2023-12-05,127366.68567519062,3006.5156092216193,3385.1214646868325
2023-12-06,127059.32981972543,3077.7656092216193,3685.3714646868325
2023-12-07,126450.47396426022,3077.2656092216193,3466.4214646868327
2023-12-08,126106.31810879502,3122.2656092216193,3363.4214646868327
2023-12-09,125992.66225332978,3249.7656092216193,1408.0881313534994
2023-12-10,126744.67306453126,2160.01560922162,1391.754798020166
2023-12-11,127114.68387573272,1761.7656092216198,3683.7547980201657
2023-12-12,126099.69468693418,2668.7656092216193,3333.754798020166
2023-12-13,125785.20549813559,3019.7656092216193,3389.754798020166
2023-12-14,125618.71630933705,3222.2656092216193,3566.254798020166
2023-12-15,125204.51283482423,3152.051323507334,3526.9855672509357
2023-12-16,124869.69397569602,3192.1667081227183,1446.4855672509354
2023-12-17,125597.87511656778,2174.6667081227183,1580.2597607993225
2023-12-18,125969.99174131053,1952.3763855420734,4048.426427465989
2023-12-19,124832.94169938662,2911.376385542073,3903.7990982734423
2023-12-20,123938.74880031988,3011.229387612467,3697.7819358020465
2023-12-21,123165.88923458642,3024.5627209458007,3662.636572393525
2023-12-22,122443.38681171012,2937.5100360420515,3260.5852903422433
2023-12-23,121785.73054268,2604.8777392608185,1575.200674957628
2023-12-24,122221.9076069832,2011.377739260818,1451.3117860687391
2023-12-25,122255.08467128637,1486.377739260818,798.7006749576275
2023-12-26,122688.76173558953,1236.377739260818,1943.5340082909613
2023-12-27,122963.77213322607,2187.044405927485,2818.034008290961
2023-12-28,122761.2825308626,2615.544405927485,2828.034008290961
2023-12-29,122757.79292849911,2824.544405927485,2514.234008290961
